Target	Source	Weight	Total	Type	max
IN0011723496	NL55808646	35.714285714285715	100.0	Directed	100.0
IN0015709651	NL55808646	100.0	100.0	Directed	100.0
IT08012690965	NL55976255	100.0	100.0	Directed	100.0
IT08012690965	NL55808646	0.0	100.0	Directed	100.0
IT08696820961	NL55976255	100.0	100.0	Directed	100.0
IT08696820961	NL55808646	0.0	100.0	Directed	100.0
JP7122001020537	NL55976255	100.0	100.0	Directed	100.0
JP7122001020537	NL55808646	0.0	100.0	Directed	100.0
KECPR2013/120420	NL55976255	64.28316308307735	0.0	Directed	89.99
KECPR2013/120420	NL55808646	35.71683691692264	100.0	Directed	100.0
KR1101140130655	NL55976255	100.0	100.0	Directed	100.0
KR1101140130655	NL55808646	0.0	100.0	Directed	100.0
KZ53296012	NL55808646	100.0	100.0	Directed	100.0
LB*920618775	NL55976255	66.66666666666667	0.0	Directed	90.0
LB*920618775	NL55808646	33.333333333333336	90.0	Directed	90.0
LK*920618768	NL55976255	100.0	100.0	Directed	100.0
LK*920618768	NL55808646	0.0	100.0	Directed	100.0
LT135523577	NL55976255	100.0	100.0	Directed	100.0
LT135523577	NL55808646	0.0	100.0	Directed	100.0
LV010371934	NL55976255	100.0	100.0	Directed	100.0
LV010371934	NL55808646	0.0	100.0	Directed	100.0
MA316709-81	NL55976255	100.0	100.0	Directed	100.0
MA316709-81	NL55808646	0.0	100.0	Directed	100.0
MO*920618902	NL55808646	100.0	100.0	Directed	100.0
MU*920618921	NL55808646	100.0	100.0	Directed	100.0
MX*904715500	NL55976255	66.44295302013423	0.0	Directed	99.0
MX*904715500	NL55808646	33.557046979865774	100.0	Directed	100.0
MY1051395-H	NL55976255	100.0	100.0	Directed	100.0
MY1051395-H	NL55808646	0.0	100.0	Directed	100.0
NG*920618847	NL55976255	66.44295302013423	0.0	Directed	99.0
NG*920618847	NL55808646	33.557046979865774	100.0	Directed	100.0
NI*920618872	NL55808646	100.0	100.0	Directed	100.0
NL55808646	US*D00392977	0.0	100.0	Directed	100.0
NL55808646	NL58046143	100.0	100.0	Directed	100.0
NL55976255	NL55808646	100.0	100.0	Directed	100.0
NL56193386	NL55976255	100.0	100.0	Directed	100.0
NL56193386	NL55808646	0.0	100.0	Directed	100.0
NL56317441	NL55808646	100.0	100.0	Directed	100.0
NL58046143	UBER TECHNOLOGIES INC	100.0	50.01	Directed	50.01
NL58823778	NL55976255	100.0	100.0	Directed	100.0
NL58823778	NL55808646	0.0	100.0	Directed	100.0
NL59168072	NL60470232	100.0	100.0	Directed	100.0
NL59168072	NL55808646	0.0	100.0	Directed	100.0
NL59888261	NL55976255	100.0	100.0	Directed	100.0
NL59888261	NL55808646	0.0	100.0	Directed	100.0
NL60470232	NL55808646	100.0	100.0	Directed	100.0
NL63717913	NL55808646	100.0	100.0	Directed	100.0
NL64518981	US*D00392977	100.0	100.0	Directed	100.0
NL64520544	US*D00392977	100.0	100.0	Directed	100.0
NL64685578	NL55808646	100.0	100.0	Directed	100.0
NL64787850	NL55808646	100.0	100.0	Directed	100.0
NL64788075	NL55976255	100.0	100.0	Directed	100.0
